, True
Nor did the French possess the Salique land, True
Until four hundred one and twenty years, True
After defunction of King Pharamond,, True
Idly supposed the founder of this law;, True
Who died within the year of our redemption, True
Four hundred twenty-six; and Charles the Great, True
Subdued the Saxons, and did seat the French, True
Beyond the river Sala, in the year, True
Eight hundred five. Besides, their writers say,, True
King Pepin, which deposed Childeric,, True
Did, as heir general, being descended, True
Of Blithild, which was daughter to King Clothair,, True
Make claim and title to the crown of France., True
Hugh Capet also, who usurped the crown, True
Of Charles the duke of Lorraine, sole heir male, True
Of the true line and stock of Charles the Great,, True
To find his title with some shows of truth,, True
'Through, in pure truth, it was corrupt and naught,, True
Convey'd himself as heir to the Lady Lingare,, True
Daughter to Charlemain, who was the son, True
To Lewis the emperor, and Lewis the son, True
Of Charles the Great. Also King Lewis the Tenth,, True
Who was sole heir to the usurper Capet,, True
Could not keep quiet in his conscience,, True
Wearing the crown of France, till satisfied, True
That fair Queen Isabel, his grandmother,, True
Was lineal of the Lady Ermengare,, True
Daughter to Charles the foresaid duke of Lorraine:, True
By the which marriage the line of Charles the Great, True
Was re-united to the crown of France., True
So that, as clear as is the summer's sun., True
King Pepin's title and Hugh Capet's claim,, True
King Lewis his satisfaction, all appear, True
To hold in right and title of the female:, True
So do the kings of France unto this day;, True
Howbeit they would hold up this Salique law, True
To bar your highness claiming from the female,, True
And rather choose to hide them in a net, True
Than amply to imbar their crooked titles, True
Usurp'd from you and your progenitors., True
, True
KING HENRY V, True
, True
May I with right and conscience make this claim?, True
, True
CANTERBURY, True
, True
The sin upon my head, dread sovereign!, True
For in the book of Numbers is it writ,, True
When the man dies, let the inheritance, True
Descend unto the daughter. Gracious lord,, True
Stand for your own; unwind your bloody flag;, True
Look back into your mighty ancestors:, True
Go, my dread lord, to your great-grandsire's tomb,, True
From whom you claim; invoke his warlike spirit,, True
And your great-uncle's, Edward the Black Prince,, True
Who on the French ground play'd a tragedy,, True
Making defeat on the full power of France,, True
Whiles his most mighty father on a hill, True
Stood smiling to behold his lion's whelp, True
Forage in blood of French nobility., True
O noble English. that could entertain, True
With half their forces the full Pride of France, True
And let another half stand laughing by,, True
All out of work and cold for action!, True
, True
ELY, True
, True
Awake remembrance of these valiant dead, True
And with your puissant arm renew their feats:, True
You are their heir; you sit upon their throne;, True
The blood and courage that renowned them, True
Runs in your veins; and my thrice-puissant liege, True
Is in the very May-morn of his youth,, True
Ripe for exploits and mighty enterprises., True
, True
EXETER, True
, True
Your brother kings and monarchs of the earth, True
Do all expect that you should rouse yourself,, True
As did the former lions of your blood., True
, True
WESTMORELAND, True
, True
They know your grace hath cause and means and might;, True
So hath your highness; never king of England, True
Had nobles richer and more loyal subjects,, True
Whose hearts have left their bodies here in England, True
And lie pavilion'd in the fields of France., True
, True
CANTERBURY, True
, True
O, let their bodies follow, my dear liege,, True
With blood and sword and fire to win your right;, True
In aid whereof we of the spiritualty, True
Will raise your highness such a mighty sum, True
As never did the clergy at one time, True
Bring in to any of your ancestors., True
, True
KING HENRY V, True
, True
We must not only arm to invade the French,, True
But lay down our proportions to defend, True
Against the Scot, who will make road upon us, True
With all advantages., True
, True
CANTERBURY, True
, True
They of those marches, gracious sovereign,, True
Shall be a wall sufficient to defend, True
Our inland from the pilfering borderers., True
, True
KING HENRY V, True
, True
We do not mean the coursing snatchers only,, True
But fear the main intendment of the Scot,, True
Who hath been still a giddy neighbour to us;, True
For you shall read that my great-grandfather, True
Never went with his forces into France, True
But that the Scot on his unfurnish'd kingdom, True
Came pouring, like the tide into a breach,, True
With ample and brim fulness of his force,, True
Galling the gleaned land with hot assays,, True
Girding with grievous siege castles and towns;, True
That England, being empty of defence,, True
Hath shook and trembled at the ill neighbourhood., True
, True
CANTERBURY, True
, True
She hath been then more fear'd than harm'd, my liege;, True
For hear her but exampled by herself:, True
When all her chivalry hath been in France, True
And she a mourning widow of her nobles,, True
She hath herself not only well defended, True
But taken and impounded as a stray, True
The King of Scots; whom she did send to France,, True
To fill King Edward's fame with prisoner kings, True
And make her chronicle as rich with praise, True
As is the ooze and bottom of the sea, True
With sunken wreck and sunless treasuries., True
, True
WESTMORELAND, True
, True
But there's a saying very old and true,, True
'If that you will France win,, True
Then with Scotland first begin:', True
For once the eagle England being in prey,, True
To her unguarded nest the weasel Scot, True
Comes sneaking and so sucks her princely eggs,, True
Playing the mouse in absence of the cat,, True
To tear and havoc more than she can eat., True
, True
EXETER, True
, True
It follows then the cat must stay at home:, True
Yet that is but a crush'd necessity,, True
Since we have locks to safeguard necessaries,, True
And pretty traps to catch the petty thieves., True
While that the armed hand doth fight abroad,, True
The advised head defends itself at home;, True
For government, though high and low and lower,, True
Put into parts, doth keep in one consent,, True
Congreeing in a full and natural close,, True
Like music., True
, True
CANTERBURY, True
, True
Therefore doth heaven divide, True
The state of man in divers functions,, True
Setting endeavour in continual motion;, True
To which is fixed, as an aim or butt,, True
Obedience: for so work the honey-bees,, True
Creatures that by a rule in nature teach, True
The act of order to a peopled kingdom., True
They have a king and officers of sorts;, True
Where some, like magistrates, correct at home,, True
Others, like merchants, venture trade abroad,, True
Others, like soldiers, armed in their stings,, True
Make boot upon the summer's velvet buds,, True
Which pillage they with merry march bring home, True
To the tent-royal of their emperor;, True
Who, busied in his majesty, surveys, True
The singing masons building roofs of gold,, True
The civil citizens kneading up the honey,, True
The poor mechanic porters crowding in, True
Their heavy burdens at his narrow gate,, True
The sad-eyed justice, with his surly hum,, True
Delivering o'er to executors pale, True
The lazy yawning drone. I this infer,, True
That many things, having full reference, True
To one consent, may work contrariously:, True
As many arrows, loosed several ways,, True
Come to one mark; as many ways meet in one town;, True
As many fresh streams meet in one salt sea;, True
As many lines close in the dial's centre;, True
So may a thousand actions, once afoot., True
End in one purpose, and be all well borne, True
Without defeat. Therefore to France, my liege., True
Divide your happy England into four;, True
Whereof take you one quarter into France,, True
And you withal shall make all Gallia shake., True
If we, with thrice such powers left at home,, True
Cannot defend our own doors from the dog,, True
Let us be worried and our nation lose, True
The name of hardiness and policy., True
, True
KING HENRY V, True
, True
Call in the messengers sent from the Dauphin., True
, True
Exeunt some Attendants, True
Now are we well resolved; and, by God's help,, True
And yours, the noble sinews of our power,, True
France being ours, we'll bend it to our awe,, True
Or break it all to pieces: or there we'll sit,, True
Ruling in large and ample empery, True
O'er France and all her almost kingly dukedoms,, True
Or lay these bones in an unworthy urn,, True
Tombless, with no remembrance over them:, True
Either our history shall with full mouth, True
Speak freely of our acts, or else our grave,, True
Like Turkish mute, shall have a tongueless mouth,, True
Not worshipp'd with a waxen epitaph., True
, True
Enter Ambassadors of France, True
Now are we well prepared to know the pleasure, True
Of our fair cousin Dauphin; for we hear, True
Your greeting is from him, not from the king., True
, True
First Ambassador, True
, True
May't please your majesty to give us leave, True
Freely to render what we have in charge;, True
Or shall we sparingly show you far off, True
The Dauphin's meaning and our embassy?, True
, True
KING HENRY V, True
, True
We are no tyrant, but a Christian king;, True
Unto whose grace our passion is as subject, True
As are our wretches fetter'd in our prisons:, True
Therefore with frank and with uncurbed plainness, True
Tell us the Dauphin's mind., True
, True
First Ambassador, True
, True
Thus, then, in few., True
Your highness, lately sending into France,, True
Did claim some certain dukedoms, in the right, True
Of your great predecessor, King Edward the Third., True
In answer of which claim, the prince our master, True
Says that you savour too much of your youth,, True
And bids you be advised there's nought in France, True
That can be with a nimble galliard won;, True
You cannot revel into dukedoms there., True
He therefore sends you, meeter for your spirit,, True
This tun of treasure; and, in lieu of this,, True
Desires you let the dukedoms that you claim, True
Hear no more of you. This the Dauphin speaks., True
, True
KING HENRY V, True
, True
What treasure, uncle?, True
, True
EXETER, True
, True
Tennis-balls, my liege., True
, True
KING HENRY V, True
, True
We are glad the Dauphin is so pleasant with us;, True
His present and your pains we thank you for:, True
When we have march'd our rackets to these balls,, True
We will, in France, by God's grace, play a set, True
Shall strike his father's crown into the hazard., True
Tell him he hath made a match with such a wrangler, True
That all the courts of France will be disturb'd, True
With chaces. And we understand him well,, True
How he comes o'er us with our wilder days,, True
Not measuring what use we made of them., True
We never valued this poor seat of England;, True
And therefore, living hence, did give ourself, True
To barbarous licence; as 'tis ever common, True
That men are merriest when they are from home., True
But tell the Dauphin I will keep my state,, True
Be like a king and show my sail of greatness, True
When I do rouse me in my throne of France:, True
For that I have laid by my majesty, True
And plodded like a man for working-days,, True
But I will rise there with so full a glory, True
That I will dazzle all the eyes of France,, True
Yea, strike the Dauphin blind to look on us., True
And tell the pleasant prince this mock of his, True
Hath turn'd his balls to gun-stones; and his soul, True
Shall stand sore charged for the wasteful vengeance, True
That shall fly with them: for many a thousand widows, True
Shall this his mock mock out of their dear husbands;, True
Mock mothers from their sons, mock castles down;, True
And some are yet ungotten and unborn, True
That shall have cause to curse the Dauphin's scorn., True
But this lies all within the will of God,, True
To whom I do appeal; and in whose name, True
Tell you the Dauphin I am coming on,, True
To venge me as I may and to put forth, True
My rightful hand in a well-hallow'd cause., True
So get you hence in peace; and tell the Dauphin, True
His jest will savour but of shallow wit,, True
When thousands weep more than did laugh at it., True
Convey them with safe conduct. Fare you well., True
, True
Exeunt Ambassadors, True
, True
EXETER, True
, True
This was a merry message., True
, True
KING HENRY V, True
, True
We hope to make the sender blush at it., True
Therefore, my lords, omit no happy hour, True
That may give furtherance to our expedition;, True
For we have now no thought in us but France,, True
Save those to God, that run before our business., True
Therefore let our proportions for these wars, True
Be soon collected and all things thought upon, True
That may with reasonable swiftness add, True
More feathers to our wings; for, God before,, True
We'll chide this Dauphin at his father's door., True
Therefore let every man now task his thought,, True
That this fair action may on foot be brought., True
, True
Exeunt. Flourish, True
, True
ACT II, True
PROLOGUE, True
, True
Enter Chorus, True
, True
Chorus, True
, True
Now all the youth of England are on fire,, True
And silken dalliance in the wardrobe lies:, True
Now thrive the armourers, and honour's thought, True
Reigns solely in the breast of every man:, True
They sell the pasture now to buy the horse,, True
Following the mirror of all Christian kings,, True
With winged heels, as English Mercuries., True
For now sits Expectation in the air,, True
And hides a sword from hilts unto the point, True
With crowns imperial, crowns and coronets,, True
Promised to Harry and his followers., True
The French, advised by good intelligence, True
Of this most dreadful preparation,, True
Shake in their fear and with pale policy, True
Seek to divert the English purposes., True
O England! model to thy inward greatness,, True
Like little body with a mighty heart,, True
What mightst thou do, that honour would thee do,, True
Were all thy children kind and natural!, True
But see thy fault! France hath in thee found out, True
A nest of hollow bosoms, which he fills, True
With treacherous crowns; and three corrupted men,, True
One, Richard Earl of Cambridge, and the second,, True
Henry Lord Scroop of Masham, and the third,, True
Sir Thomas Grey, knight, of Northumberland,, True
Have, for the gilt of France,--O guilt indeed!, True
Confirm'd conspiracy with fearful France;, True
And by their hands this grace of kings must die,, True
If hell and treason hold their promises,, True
Ere he take ship for France, and in Southampton., True
Linger your patience on; and we'll digest, True
The abuse of distance; force a play:, True
The sum is paid; the traitors are agreed;, True
The king is set from London; and the scene, True
Is now transported, gentles, to Southampton;, True
There is the playhouse now, there must you sit:, True
And thence to France shall we convey you safe,, True
And bring you back, charming the narrow seas, True
To give you gentle pass; for, if we may,, True
We'll not offend one stomach with our play., True
But, till the king come forth, and not till then,, True
Unto Southampton do we shift our scene., True
, True
Exit, True
, True
SCENE I. London. A street., True
, True
Enter Corporal NYM and Lieutenant BARDOLPH, True
, True
BARDOLPH, True
, True
Well met, Corporal Nym., True
, True
NYM, True
, True
Good morrow, Lieutenant Bardolph., True
, True
BARDOLPH, True
, True
What, are Ancient Pistol and you friends yet?, True
, True
NYM, True
, True
For my part, I care not: I say little; but when, True
time shall serve, there shall be smiles; but that, True
shall be as it may. I dare not fight; but I will, True
wink and hold out mine iron: it is a simple one; but, True
what though? it will toast cheese, and it will, True
endure cold as another man's sword will: and, True
there's an end., True
, True
BARDOLPH, True
, True
I will bestow a breakfast to make you friends; and, True
we'll be all three sworn brothers to France: let it, True
be so, good Corporal Nym., True
, True
NYM, True
, True
Faith, I will live so long as I may, that's the, True
certain of it; and when I cannot live any longer, I, True
will do as I may: that is my rest, that is the, True
rendezvous of it., True
, True
BARDOLPH, True
, True
It is certain, corporal, that he is married to Nell, True
Quickly: and certainly she did you wrong; for you, True
were troth-plight to her., True
, True
NYM, True
, True
I cannot tell: things must be as they may: men may, True
sleep, and they may have their throats about them at, True
that time; and some say knives have edges. It must, True
be as it may: though patience be a tired mare, yet, True
she will plod. There must be conclusions. Well, I, True
cannot tell., True
, True
Enter PISTOL and Hostess, True
, True
BARDOLPH, True
, True
Here comes Ancient Pistol and his wife: good, True
corporal, be patient here. How now, mine host Pistol!, True
, True
PISTOL, True
, True
Base tike, call'st thou me host? Now, by this hand,, True
I swear, I scorn the term; Nor shall my Nell keep lodgers., True
, True
Hostess, True
, True
No, by my troth, not long; for we cannot lodge and, True
board a dozen or fourteen gentlewomen that live, True
honestly by the prick of their needles, but it will, True
be thought we keep a bawdy house straight., True
, True
NYM and PISTOL draw, True
O well a day, Lady, if he be not drawn now! we, True
shall see wilful adultery and murder committed., True
, True
BARDOLPH, True
, True
Good lieutenant! good corporal! offer nothing here., True
, True
NYM, True
, True
Pish!, True
, True
PISTOL, True
, True
Pish for thee, Iceland dog! thou prick-ear'd cur of Iceland!, True
, True
Hostess, True
, True
Good Corporal Nym, show thy valour, and put up your sword., True
, True
NYM, True
, True
Will you shog off? I would have you solus., True
, True
PISTOL, True
, True
'Solus,' egregious dog? O viper vile!, True
The 'solus' in thy most mervailous face;, True
The 'solus' in thy teeth, and in thy throat,, True
And in thy hateful lungs, yea, in thy maw, perdy,, True
And, which is worse, within thy nasty mouth!, True
I do retort the 'solus' in thy bowels;, True
For I can take, and Pistol's cock is up,, True
And flashing fire will follow., True
, True
NYM, True
, True
I am not Barbason; you cannot conjure me. I have an, True
humour to knock you indifferently well. If you grow, True
foul with me, Pistol, I will scour you with my, True
rapier, as I may, in fair terms: if you would walk, True
off, I would prick your guts a little, in good, True
terms, as I may: and that's the humour of it., True
, True
PISTOL, True
, True
O braggart vile and damned furious wight!, True
The grave doth gape, and doting death is near;, True
Therefore exhale., True
, True
BARDOLPH, True
, True
Hear me, hear me what I say: he that strikes the, True
first stroke, I'll run him up to the hilts, as I am a soldier., True
, True
Draws, True
, True
PISTOL, True
, True
An oath of mickle might; and fury shall abate., True
Give me thy fist, thy fore-foot to me give:, True
Thy spirits are most tall., True
, True
NYM, True
, True
I will cut thy throat, one time or other, in fair, True
terms: that is the humour of it., True
, True
PISTOL, True
, True
'Couple a gorge!', True
That is the word. I thee defy again., True
O hound of Crete, think'st thou my spouse to get?, True
No; to the spital go,, True
And from the powdering tub of infamy, True
Fetch forth the lazar kite of Cressid's kind,, True
Doll Tearsheet she by name, and her espouse:, True
I have, and I will hold, the quondam Quickly, True
For the only she; and--pauca, there's enough. Go to., True
, True
Enter the Boy, True
, True
Boy, True
, True
Mine host Pistol, you must come to my master, and, True
you, hostess: he is very sick, and would to bed., True
Good Bardolph, put thy face between his sheets, and, True
do the office of a warming-pan. Faith, he's very ill., True
, True
BARDOLPH, True
, True
Away, you rogue!, True
, True
Hostess, True
, True
By my troth, he'll yield the crow a pudding one of, True
these days. The king has killed his heart. Good, True
husband, come home presently., True
, True
Exeunt Hostess and Boy, True
, True
BARDOLPH, True
, True
Come, shall I make you two friends? We must to, True
France together: why the devil should we keep, True
knives to cut one another's throats?, True
, True
PISTOL, True
, True
Let floods o'erswell, and fiends for food howl on!, True
, True
NYM, True
, True
You'll pay me the eight shillings I won of you at betting?, True
, True
PISTOL, True
, True
Base is the slave that pays., True
, True
NYM, True
, True
That now I will have: that's the humour of it., True
, True
PISTOL, True
, True
As manhood shall compound: push home., True
, True
They draw, True
, True
BARDOLPH, True
, True
By this sword, he that makes the first thrust, I'll, True
kill him; by this sword, I will., True
, True
PISTOL, True
, True
Sword is an oath, and oaths must have their course., True
, True
BARDOLPH, True
, True
Corporal Nym, an thou wilt be friends, be friends:, True
an thou wilt not, why, then, be enemies with me too., True
Prithee, put up., True
, True
NYM, True
, True
I shall have my eight shillings I won of you at betting?, True
, True
PISTOL, True
, True
A noble shalt thou have, and present pay;, True
And liquor likewise will I give to thee,, True
And friendship shall combine, and brotherhood:, True
I'll live by Nym, and Nym shall live by me;, True
Is not this just? for I shall sutler be, True
Unto the camp, and profits will accrue., True
Give me thy hand., True
, True
NYM, True
, True
I shall have my noble?, True
, True
PISTOL, True
, True
In cash most justly paid., True
, True
NYM, True
, True
Well, then, that's the humour of't., True
, True
Re-enter Hostess, True
, True
Hostess, True
, True
As ever you came of women, come in quickly to Sir, True
John. Ah, poor heart! he is so shaked of a burning, True
quotidian tertian, that it is most lamentable to, True
behold. Sweet men, come to him., True
, True
NYM, True
, True
The king hath run bad humours on the knight; that's, True
the even of it., True
, True
PISTOL, True
, True
Nym, thou hast spoke the right;, True
His heart is fracted and corroborate., True
, True
NYM, True
, True
The king is a good king: but it must be as it may;, True
he passes some humours and careers., True
, True
PISTOL, True
, True
Let us condole the knight; for, lambkins we will live., True
, True
SCENE II. Southampton. A council-chamber., True
, True
Enter EXETER, BEDFORD, and WESTMORELAND, True
, True
BEDFORD, True
, True
'Fore God, his grace is bold, to trust these traitors., True
, True
EXETER, True
, True
They shall be apprehended by and by., True
, True
WESTMORELAND, True
, True
How smooth and even they do bear themselves!, True
As if allegiance in their bosoms sat,, True
Crowned with faith and constant loyalty., True
, True
BEDFORD, True
, True
The king hath note of all that they intend,, True
By interception which they dream not of., True
, True
EXETER, True
, True
Nay, but the man that was his bedfellow,, True
Whom he hath dull'd and cloy'd with gracious favours,, True
That he should, for a foreign purse, so sell, True
His sovereign's life to death and treachery., True
, True
Trumpets sound. Enter KING HENRY V, SCROOP, CAMBRIDGE, GREY, and Attendants, True
, True
KING HENRY V, True
, True
Now sits the wind fair, and we will aboard., True
My Lord of Cambridge, and my kind Lord of Masham,, True
And you, my gentle knight, give me your thoughts:, True
Think you not that the powers we bear with us, True
Will cut their passage through the force of France,, True
Doing the execution and the act, True
For which we have in head assembled them?, True
, True
SCROOP, True
, True
No doubt, my liege, if each man do his best., True
, True
KING HENRY V, True
, True
I doubt not that; since we are well persuaded, True
We carry not a heart with us from hence, True
That grows not in a fair consent with ours,, True
Nor leave not one behind that doth not wish, True
Success and conquest to attend on us., True
, True
CAMBRIDGE, True
, True
Never was monarch better fear'd and loved, True
Than is your majesty: there's not, I think, a subject, True
That sits in heart-grief and uneasiness, True
Under the sweet shade of your government., True
, True
GREY, True
, True
True: those that were your father's enemies, True
Have steep'd their galls in honey and do serve you, True
With hearts create of duty and of zeal., True
, True
KING HENRY V, True
, True
We therefore have great cause of thankfulness;, True
And shall forget the office of our hand,, True
Sooner than quittance of desert and merit, True
According to the weight and worthiness., True
, True
SCROOP, True
, True
So service shall with steeled sinews toil,, True
And labour shall refresh itself with hope,, True
To do your grace incessant services., True
, True
KING HENRY V, True
, True
We judge no less. Uncle of Exeter,, True
Enlarge the man committed yesterday,, True
That rail'd against our person: we consider, True
it was excess of wine that set him on;, True
And on his more advice we pardon him., True
, True
SCROOP, True
, True
That's mercy, but too much security:, True
Let him be punish'd, sovereign, lest example, True
Breed, by his sufferance, more of such a kind., True
, True
KING HENRY V, True
, True
O, let us yet be merciful., True
, True
CAMBRIDGE, True
, True
So may your highness, and yet punish too., True
, True
GREY, True
, True
Sir,, True
You show great mercy, if you give him life,, True
After the taste of much correction., True
, True
KING HENRY V, True
, True
Alas, your too much love and care of me, True
Are heavy orisons 'gainst this poor wretch!, True
If little faults, proceeding on distemper,, True
Shall not be wink'd at, how shall we stretch our eye, True
When capital crimes, chew'd, swallow'd and digested,, True
Appear before us? We'll yet enlarge that man,, True
Though Cambridge, Scroop and Grey, in their dear care, True
And tender preservation of our person,, True
Would have him punished. And now to our French causes:, True
Who are the late commissioners?, True
, True
CAMBRIDGE, True
, True
I one, my lord:, True
Your highness bade me ask for it to-day., True
, True
SCROOP, True
, True
So did you me, my liege., True
, True
GREY, True
, True
And I, my royal sovereign., True
, True
KING HENRY V, True
, True
Then, Richard Earl of Cambridge, there is yours;, True
There yours, Lord Scroop of Masham; and, sir knight,, True
Grey of Northumberland, this same is yours:, True
